"","items","count","total","rnd","customer","age","city","paymentType"
"787","whole milk,margarine",2,2424,1,"Farida",22,"Cairo","Cash"
"788","pastry,soda",2,165,11,"Hanan",22,"Fayoum","Cash"
"789","chicken,root vegetables,herbs,other vegetables,canned beer,liquor (appetizer),shopping bags",7,582,1,"Farida",22,"Cairo","Credit"
"790","soda,fruit/vegetable juice",2,776,11,"Hanan",22,"Fayoum","Credit"
"791","ham,whole milk,rolls/buns,bottled water,white wine",5,615,1,"Farida",22,"Cairo","Cash"
"792","berries,whipped/sour cream,domestic eggs",3,2494,11,"Hanan",22,"Fayoum","Credit"
"793","chicken,other vegetables",2,2063,11,"Hanan",22,"Fayoum","Cash"
"794","whole milk,margarine,soda,napkins,photo/film",5,1298,1,"Farida",22,"Cairo","Credit"
"795","pork",1,635,11,"Hanan",22,"Fayoum","Credit"
"796","frankfurter,hamburger meat,beverages,shopping bags",4,1222,11,"Hanan",22,"Fayoum","Cash"
"797","citrus fruit,other vegetables,dessert,whipped/sour cream,soda",5,655,1,"Farida",22,"Cairo","Credit"
"798","citrus fruit,tropical fruit,onions,packaged fruit/vegetables,yogurt,napkins",6,1218,11,"Hanan",22,"Fayoum","Credit"
"799","yogurt,specialty bar",2,142,1,"Farida",22,"Cairo","Credit"
"800","sausage,tropical fruit,root vegetables,other vegetables,cream cheese ,pickled vegetables,candles",7,2033,11,"Hanan",22,"Fayoum","Cash"
"801","coffee",1,634,1,"Farida",22,"Cairo","Cash"
"802","tropical fruit,pip fruit",2,919,1,"Farida",22,"Cairo","Credit"
"803","other vegetables",1,158,11,"Hanan",22,"Fayoum","Cash"
"804","brown bread",1,1803,1,"Farida",22,"Cairo","Cash"
"805","ham,root vegetables,whole milk,butter,whipped/sour cream,hard cheese,rolls/buns",7,1499,11,"Hanan",22,"Fayoum","Credit"
"806","turkey,beef,root vegetables,whole milk",4,197,11,"Hanan",22,"Fayoum","Cash"
"807","chicken,other vegetables,whole milk,frozen vegetables,rolls/buns,pastry",6,1051,11,"Hanan",22,"Fayoum","Cash"
"808","rolls/buns",1,1242,1,"Farida",22,"Cairo","Cash"
"809","sausage,meat,brown bread,bottled water,soda,canned beer,shopping bags",7,751,1,"Farida",22,"Cairo","Cash"
"810","chicken,other vegetables,oil",3,273,1,"Farida",22,"Cairo","Credit"
"811","rolls/buns",1,1356,11,"Hanan",22,"Fayoum","Credit"
"812","beverages,rolls/buns",2,178,1,"Farida",22,"Cairo","Credit"
"813","packaged fruit/vegetables,frozen fish,napkins",3,830,1,"Farida",22,"Cairo","Credit"
"814","pip fruit,whole milk,yogurt,pastry,seasonal products,male cosmetics",6,2073,11,"Hanan",22,"Fayoum","Credit"
"815","chicken,packaged fruit/vegetables,frozen vegetables,frozen meals,misc. beverages,newspapers,flower (seeds)",7,1076,11,"Hanan",22,"Fayoum","Credit"
"816","tropical fruit,whole milk,butter milk,brown bread,shopping bags",5,352,1,"Farida",22,"Cairo","Credit"
"817","sausage,hamburger meat,tropical fruit,whole milk,sliced cheese,rolls/buns,oil,Instant food products,soda",9,651,1,"Farida",22,"Cairo","Credit"
"818","soda",1,1915,11,"Hanan",22,"Fayoum","Cash"
"819","onions,other vegetables,UHT-milk,condensed milk,cream cheese ,salt,sugar,dog food,soda",9,1932,11,"Hanan",22,"Fayoum","Credit"
"820","shopping bags",1,492,11,"Hanan",22,"Fayoum","Cash"
"821","pastry,soda",2,1372,11,"Hanan",22,"Fayoum","Credit"
"822","chicken",1,1637,11,"Hanan",22,"Fayoum","Credit"
"823","domestic eggs,rolls/buns",2,473,11,"Hanan",22,"Fayoum","Cash"
"824","sausage,rolls/buns,soda",3,1960,1,"Farida",22,"Cairo","Credit"
"825","citrus fruit,other vegetables,hard cheese,spices,coffee,canned beer,chocolate,candy,flower (seeds),shopping bags",10,1884,11,"Hanan",22,"Fayoum","Cash"
"826","meat,turkey,onions,other vegetables,sliced cheese,ice cream,sauces,waffles,dishes",9,2003,1,"Farida",22,"Cairo","Credit"
"827","ice cream",1,1225,11,"Hanan",22,"Fayoum","Cash"
"828","soda",1,1793,1,"Farida",22,"Cairo","Cash"
"829","frozen meals,soda",2,2056,11,"Hanan",22,"Fayoum","Cash"
"830","tropical fruit,butter milk,domestic eggs,rolls/buns,bottled water,soda,fruit/vegetable juice",7,1711,11,"Hanan",22,"Fayoum","Credit"
"831","citrus fruit,specialty bar",2,2476,1,"Farida",22,"Cairo","Credit"
"832","onions,other vegetables,specialty cheese,bottled water,shopping bags",5,1335,1,"Farida",22,"Cairo","Cash"
"833","other vegetables,roll products ,bottled water,bottled beer",4,2044,11,"Hanan",22,"Fayoum","Credit"
"834","rolls/buns,pasta,bottled beer",3,1404,1,"Farida",22,"Cairo","Cash"
"835","pork,tropical fruit,waffles,newspapers",4,1579,11,"Hanan",22,"Fayoum","Cash"
"836","shopping bags",1,2021,1,"Farida",22,"Cairo","Cash"
"837","tropical fruit",1,350,1,"Farida",22,"Cairo","Cash"
"838","fruit/vegetable juice,chocolate",2,233,1,"Farida",22,"Cairo","Credit"
"839","tropical fruit,soda",2,1653,1,"Farida",22,"Cairo","Credit"
"840","ham,rolls/buns,bottled beer",3,667,11,"Hanan",22,"Fayoum","Cash"
"841","pastry",1,224,1,"Farida",22,"Cairo","Credit"
"842","root vegetables,other vegetables",2,334,1,"Farida",22,"Cairo","Cash"
"843","citrus fruit,coffee",2,1609,1,"Farida",22,"Cairo","Credit"
"844","pork,herbs,whole milk,yogurt,whipped/sour cream,frozen vegetables,oil,liquor (appetizer)",8,773,1,"Farida",22,"Cairo","Credit"
"845","sparkling wine",1,647,1,"Farida",22,"Cairo","Cash"
"846","dish cleaner",1,1561,11,"Hanan",22,"Fayoum","Credit"
"847","cream cheese ,rolls/buns",2,2356,1,"Farida",22,"Cairo","Cash"
"848","yogurt,pastry,soups,detergent,flower (seeds)",5,765,1,"Farida",22,"Cairo","Credit"
"849","whole milk,dessert,pastry,long life bakery product",4,1793,11,"Hanan",22,"Fayoum","Cash"
"850","beef,citrus fruit,pip fruit",3,1074,1,"Farida",22,"Cairo","Credit"
"851","beverages",1,850,1,"Farida",22,"Cairo","Credit"
"852","whole milk,rolls/buns,pastry",3,2147,1,"Farida",22,"Cairo","Cash"
"853","pip fruit",1,1075,11,"Hanan",22,"Fayoum","Cash"
"854","sausage,root vegetables,other vegetables,dessert,napkins",5,1450,11,"Hanan",22,"Fayoum","Cash"
"855","citrus fruit,whole milk,yogurt,white bread,sugar,soda,napkins,shopping bags",8,1362,1,"Farida",22,"Cairo","Credit"
"856","berries,newspapers",2,403,11,"Hanan",22,"Fayoum","Credit"
"857","brown bread,meat spreads,bottled water,fruit/vegetable juice",4,2358,1,"Farida",22,"Cairo","Cash"
"858","citrus fruit,hygiene articles,cling film/bags",3,2008,1,"Farida",22,"Cairo","Cash"
"859","frankfurter,chicken,root vegetables,other vegetables,whole milk,dessert,butter milk,yogurt,whipped/sour cream,sliced cheese,hard cheese,pastry,semi-finished bread,flour,pasta,canned vegetables,specialty chocolate,male cosmetics,newspapers,shopping bags",20,878,11,"Hanan",22,"Fayoum","Credit"
"860","oil,bottled beer",2,2374,1,"Farida",22,"Cairo","Cash"
"861","brown bread",1,2004,1,"Farida",22,"Cairo","Cash"
"862","frankfurter,citrus fruit,onions,other vegetables,canned beer,chocolate",6,598,1,"Farida",22,"Cairo","Credit"
"863","butter,ice cream,brown bread,bottled beer,rum",5,1001,1,"Farida",22,"Cairo","Cash"
"864","chicken,pork,beef,other vegetables,salt,bottled water",6,2008,1,"Farida",22,"Cairo","Cash"
"865","salty snack",1,786,11,"Hanan",22,"Fayoum","Cash"
"866","citrus fruit,tropical fruit,whole milk,yogurt,soft cheese,cat food,bottled water,chocolate,specialty chocolate",9,1420,11,"Hanan",22,"Fayoum","Credit"
"867","citrus fruit,tropical fruit,rolls/buns,oil,mustard,soups,sweet spreads,soda,syrup,canned beer,waffles,chocolate,specialty bar,dish cleaner,baby cosmetics,cookware",16,2350,11,"Hanan",22,"Fayoum","Credit"
"868","tropical fruit,brown bread,margarine,cat food,detergent,cling film/bags,newspapers",7,1678,11,"Hanan",22,"Fayoum","Cash"
"869","whipped/sour cream,candy",2,306,11,"Hanan",22,"Fayoum","Credit"
"870","sausage,dessert,sliced cheese,brown bread,detergent,kitchen towels,pot plants,shopping bags",8,1904,1,"Farida",22,"Cairo","Credit"
"871","hamburger meat,tropical fruit,root vegetables,other vegetables,yogurt,whipped/sour cream,cream cheese ,rolls/buns,baking powder",9,1029,11,"Hanan",22,"Fayoum","Cash"
"872","bottled water,fruit/vegetable juice,white wine",3,1928,1,"Farida",22,"Cairo","Credit"
"873","whole milk",1,713,11,"Hanan",22,"Fayoum","Credit"
"874","ham,whole milk,sliced cheese,bottled water,napkins",5,2094,1,"Farida",22,"Cairo","Credit"
"875","citrus fruit,berries,whole milk,butter milk,whipped/sour cream,frozen vegetables,mustard,baking powder,soda,fruit/vegetable juice,liquor (appetizer),nut snack,cooking chocolate",13,294,11,"Hanan",22,"Fayoum","Cash"
"876","chicken,whole milk,soft cheese,coffee,salty snack,specialty chocolate",6,1515,1,"Farida",22,"Cairo","Credit"
"877","whole milk",1,747,11,"Hanan",22,"Fayoum","Credit"
"878","sausage,rolls/buns,chewing gum,specialty bar",4,1856,1,"Farida",22,"Cairo","Credit"
"879","sausage,root vegetables,whole milk,pastry,soda,soap",6,602,1,"Farida",22,"Cairo","Credit"
"880","rolls/buns",1,1747,1,"Farida",22,"Cairo","Credit"
"881","whole milk,bottled water,pot plants",3,825,11,"Hanan",22,"Fayoum","Credit"
"882","sausage,citrus fruit,onions,other vegetables,whole milk,sliced cheese,cream cheese ,salt,newspapers",9,1310,1,"Farida",22,"Cairo","Credit"
"883","rolls/buns,canned beer",2,1504,1,"Farida",22,"Cairo","Cash"
"884","chicken,rolls/buns",2,2005,1,"Farida",22,"Cairo","Credit"
"885","dishes",1,2071,1,"Farida",22,"Cairo","Credit"
"886","sausage,rolls/buns,soda",3,1602,1,"Farida",22,"Cairo","Credit"
"887","frankfurter,sausage,turkey,tropical fruit,root vegetables,white bread,canned vegetables,soda",8,762,1,"Farida",22,"Cairo","Credit"
"888","whipped/sour cream",1,417,11,"Hanan",22,"Fayoum","Credit"
"889","rolls/buns,roll products ,cat food,shopping bags",4,1915,11,"Hanan",22,"Fayoum","Credit"
"890","pip fruit,onions,other vegetables,vinegar,waffles",5,735,1,"Farida",22,"Cairo","Cash"
"891","ice cream,cereals,chewing gum",3,2499,1,"Farida",22,"Cairo","Credit"
"892","oil",1,1984,11,"Hanan",22,"Fayoum","Cash"
"893","other vegetables,bottled beer,red/blush wine,prosecco,specialty chocolate",5,1121,1,"Farida",22,"Cairo","Cash"
"894","yogurt,soft cheese",2,1131,11,"Hanan",22,"Fayoum","Cash"
"895","dessert,misc. beverages,fruit/vegetable juice",3,745,11,"Hanan",22,"Fayoum","Credit"
"896","soda",1,548,1,"Farida",22,"Cairo","Cash"
"897","misc. beverages,chocolate,shopping bags",3,1693,1,"Farida",22,"Cairo","Cash"
"898","chicken,citrus fruit,whole milk,processed cheese,coffee,soda,fruit/vegetable juice,canned beer,white wine,candy,shopping bags",11,1609,1,"Farida",22,"Cairo","Cash"
"899","packaged fruit/vegetables",1,656,1,"Farida",22,"Cairo","Cash"
"900","citrus fruit,pip fruit,other vegetables,rolls/buns",4,265,1,"Farida",22,"Cairo","Credit"
"901","whole milk,canned fish,bottled beer,abrasive cleaner,cleaner",5,120,11,"Hanan",22,"Fayoum","Credit"
"902","specialty chocolate",1,2024,11,"Hanan",22,"Fayoum","Cash"
"903","canned vegetables,female sanitary products,shopping bags",3,1379,11,"Hanan",22,"Fayoum","Credit"
"904","bottled water,bottled beer",2,678,11,"Hanan",22,"Fayoum","Cash"
"905","tropical fruit",1,674,11,"Hanan",22,"Fayoum","Credit"
"906","pip fruit,root vegetables,other vegetables,whole milk,margarine,bottled water",6,975,1,"Farida",22,"Cairo","Credit"
"907","tropical fruit,other vegetables,packaged fruit/vegetables,butter,bottled water",5,309,11,"Hanan",22,"Fayoum","Credit"
"908","sausage,pip fruit,root vegetables,whole milk,butter,domestic eggs,brown bread,cereals,baking powder,fruit/vegetable juice,long life bakery product,chocolate",12,1339,11,"Hanan",22,"Fayoum","Credit"
"909","coffee,seasonal products,shopping bags",3,103,11,"Hanan",22,"Fayoum","Credit"
"910","oil,canned beer",2,497,11,"Hanan",22,"Fayoum","Credit"
"911","tropical fruit",1,841,1,"Farida",22,"Cairo","Credit"
"912","soda",1,2426,1,"Farida",22,"Cairo","Cash"
"913","other vegetables,packaged fruit/vegetables,dessert,frozen vegetables,domestic eggs,flour,salt,sugar",8,1661,1,"Farida",22,"Cairo","Credit"
"914","dessert,flower soil/fertilizer,flower (seeds)",3,2159,11,"Hanan",22,"Fayoum","Credit"
"915","sausage,other vegetables,frozen dessert,pastry,fruit/vegetable juice,long life bakery product",6,2308,1,"Farida",22,"Cairo","Cash"
"916","pork,bottled water,white wine",3,621,11,"Hanan",22,"Fayoum","Credit"
"917","yogurt,frozen meals,soda",3,946,11,"Hanan",22,"Fayoum","Cash"
"918","bottled water,soda,chocolate,shopping bags",4,1280,1,"Farida",22,"Cairo","Credit"
"919","frozen vegetables",1,2160,11,"Hanan",22,"Fayoum","Credit"
"920","yogurt,margarine,bottled water,chewing gum",4,663,1,"Farida",22,"Cairo","Cash"
"921","other vegetables,brown bread",2,464,1,"Farida",22,"Cairo","Credit"
"922","tropical fruit,butter,whipped/sour cream,rolls/buns",4,626,1,"Farida",22,"Cairo","Credit"
"923","white wine",1,1849,1,"Farida",22,"Cairo","Cash"
"924","citrus fruit,tropical fruit,whole milk,rolls/buns,honey",5,261,1,"Farida",22,"Cairo","Cash"
"925","frankfurter,pastry,soda",3,1872,11,"Hanan",22,"Fayoum","Credit"
"926","beef,onions,other vegetables,rolls/buns",4,761,1,"Farida",22,"Cairo","Cash"
"927","sausage,chicken,other vegetables,whole milk,whipped/sour cream,hard cheese,frozen meals,rolls/buns,cereals,coffee,nut snack,cake bar,cleaner,skin care,female sanitary products,house keeping products",16,1835,11,"Hanan",22,"Fayoum","Cash"
"928","beef",1,2239,1,"Farida",22,"Cairo","Credit"
"929","canned beer",1,2214,1,"Farida",22,"Cairo","Credit"
"930","whole milk,whipped/sour cream",2,1360,11,"Hanan",22,"Fayoum","Cash"
"931","beef,hamburger meat",2,1399,1,"Farida",22,"Cairo","Cash"
"932","citrus fruit,onions,soups",3,1715,1,"Farida",22,"Cairo","Credit"
"933","pork,citrus fruit,tropical fruit,pip fruit",4,1959,11,"Hanan",22,"Fayoum","Credit"
"934","whole milk,rolls/buns,soap,napkins,newspapers",5,1457,1,"Farida",22,"Cairo","Cash"
"935","canned beer",1,718,11,"Hanan",22,"Fayoum","Cash"
"936","frozen vegetables",1,1494,1,"Farida",22,"Cairo","Cash"
"937","whole milk,rolls/buns,bottled water",3,1552,11,"Hanan",22,"Fayoum","Credit"
"938","sausage,root vegetables,frozen vegetables,frozen meals,rolls/buns,bottled water",6,1479,11,"Hanan",22,"Fayoum","Credit"
"939","curd cheese",1,296,1,"Farida",22,"Cairo","Cash"
"940","tropical fruit",1,232,1,"Farida",22,"Cairo","Cash"
"941","whole milk,butter,rolls/buns,pasta,candy",5,820,1,"Farida",22,"Cairo","Cash"
"942","citrus fruit",1,1210,11,"Hanan",22,"Fayoum","Credit"
"943","bottled water,specialty chocolate",2,2261,1,"Farida",22,"Cairo","Credit"
"944","chocolate",1,349,1,"Farida",22,"Cairo","Credit"
"945","curd,Instant food products,specialty bar",3,1678,11,"Hanan",22,"Fayoum","Cash"
"946","herbs,other vegetables,hygiene articles,napkins",4,621,1,"Farida",22,"Cairo","Credit"
"947","grapes,berries",2,2056,11,"Hanan",22,"Fayoum","Credit"
"948","bottled beer,red/blush wine",2,834,11,"Hanan",22,"Fayoum","Cash"
"949","nuts/prunes,whole milk,rolls/buns,waffles,chocolate,newspapers",6,694,11,"Hanan",22,"Fayoum","Credit"
"950","whole milk,canned beer",2,1855,1,"Farida",22,"Cairo","Cash"
"951","long life bakery product,waffles,newspapers",3,1977,1,"Farida",22,"Cairo","Credit"
"952","other vegetables,butter milk,yogurt",3,1735,11,"Hanan",22,"Fayoum","Credit"
"953","grapes",1,361,11,"Hanan",22,"Fayoum","Cash"
"954","bottled beer,prosecco",2,967,11,"Hanan",22,"Fayoum","Credit"
"955","instant coffee",1,833,11,"Hanan",22,"Fayoum","Cash"
"956","citrus fruit,tropical fruit,pip fruit,other vegetables,zwieback,shopping bags",6,2242,11,"Hanan",22,"Fayoum","Cash"
"957","whole milk,mustard",2,1312,11,"Hanan",22,"Fayoum","Cash"
"958","whole milk,rolls/buns",2,726,11,"Hanan",22,"Fayoum","Credit"
"959","whole milk,rolls/buns,nut snack",3,581,11,"Hanan",22,"Fayoum","Credit"
"960","whole milk,pickled vegetables",2,1360,11,"Hanan",22,"Fayoum","Credit"
"961","other vegetables,bottled beer",2,1783,1,"Farida",22,"Cairo","Cash"
"962","sausage,pip fruit,berries,whole milk,butter,whipped/sour cream",6,386,1,"Farida",22,"Cairo","Credit"
"963","other vegetables,yogurt,specialty cheese,bottled water",4,582,11,"Hanan",22,"Fayoum","Cash"
"964","beef,citrus fruit,butter,domestic eggs,flour,margarine,baking powder,long life bakery product",8,528,11,"Hanan",22,"Fayoum","Credit"
"965","ice cream,soda,misc. beverages,liquor (appetizer)",4,1248,1,"Farida",22,"Cairo","Credit"
"966","tropical fruit,root vegetables,yogurt,cream cheese ,processed cheese,brown bread,ketchup,salty snack,waffles,candy",10,125,11,"Hanan",22,"Fayoum","Credit"
"967","whipped/sour cream",1,1545,1,"Farida",22,"Cairo","Cash"
"968","yogurt,bottled beer,white wine",3,408,11,"Hanan",22,"Fayoum","Credit"
"969","frozen potato products",1,1317,11,"Hanan",22,"Fayoum","Credit"
"970","tropical fruit,frozen dessert",2,1131,11,"Hanan",22,"Fayoum","Credit"
"971","beef,root vegetables,domestic eggs,vinegar,soda",5,1070,1,"Farida",22,"Cairo","Cash"
"972","curd,ice cream,pasta,cat food",4,1943,11,"Hanan",22,"Fayoum","Cash"
"973","bottled water,canned beer,candy",3,2459,11,"Hanan",22,"Fayoum","Credit"
"974","pip fruit,beverages,frozen meals,long life bakery product,chocolate,napkins",6,2252,1,"Farida",22,"Cairo","Credit"
"975","detergent,hygiene articles,napkins",3,122,1,"Farida",22,"Cairo","Credit"
"976","sausage,rolls/buns,bottled beer",3,2180,11,"Hanan",22,"Fayoum","Credit"
"977","bottled beer",1,1620,11,"Hanan",22,"Fayoum","Credit"
"978","other vegetables,brown bread,spices,white wine",4,919,11,"Hanan",22,"Fayoum","Credit"
"979","bottled beer",1,1131,11,"Hanan",22,"Fayoum","Cash"
"980","pip fruit,root vegetables,curd,hard cheese,specialty cheese",5,628,11,"Hanan",22,"Fayoum","Credit"
"981","soda,canned beer,liquor (appetizer),salty snack,shopping bags",5,1490,1,"Farida",22,"Cairo","Credit"
"982","ham,pip fruit,domestic eggs,pastry,semi-finished bread,cat food,newspapers",7,239,11,"Hanan",22,"Fayoum","Cash"
"983","frankfurter,pork,curd,shopping bags",4,1531,1,"Farida",22,"Cairo","Cash"
"984","pork,beef,berries,domestic eggs,oil",5,469,1,"Farida",22,"Cairo","Cash"
"985","sugar,specialty bar",2,1813,1,"Farida",22,"Cairo","Credit"
"986","hamburger meat,pip fruit,curd,dessert,cream cheese ,rolls/buns,brown bread",7,383,11,"Hanan",22,"Fayoum","Cash"
"987","whole milk,whipped/sour cream",2,1285,1,"Farida",22,"Cairo","Credit"
"988","UHT-milk,domestic eggs,oil,margarine",4,1788,1,"Farida",22,"Cairo","Credit"
"989","beef,grapes,other vegetables,whole milk,dessert,yogurt,frozen vegetables,cake bar,dishes,newspapers",10,1375,1,"Farida",22,"Cairo","Credit"
"990","root vegetables,margarine,pet care",3,2118,11,"Hanan",22,"Fayoum","Cash"
"991","tropical fruit,rolls/buns,newspapers",3,2186,11,"Hanan",22,"Fayoum","Credit"
"992","tropical fruit,hard cheese,frozen vegetables,domestic eggs,semi-finished bread",5,1365,1,"Farida",22,"Cairo","Credit"
"993","sausage,pip fruit,root vegetables,other vegetables,whole milk,yogurt,pastry,soda,napkins,shopping bags",10,1389,11,"Hanan",22,"Fayoum","Cash"
"994","berries,other vegetables,yogurt,frozen fish,oil,margarine,salty snack",7,817,11,"Hanan",22,"Fayoum","Cash"
"995","other vegetables",1,605,1,"Farida",22,"Cairo","Credit"
"996","beverages",1,1612,11,"Hanan",22,"Fayoum","Cash"
"997","sausage,finished products,semi-finished bread,soda",4,2142,11,"Hanan",22,"Fayoum","Credit"
"998","oil",1,1949,1,"Farida",22,"Cairo","Credit"
"999","shopping bags",1,818,11,"Hanan",22,"Fayoum","Cash"
"1000","citrus fruit,tropical fruit,grapes,root vegetables,herbs,other vegetables,whole milk,frozen vegetables,rice,dog food,bottled water,misc. beverages,fruit/vegetable juice,napkins",14,1022,1,"Farida",22,"Cairo","Credit"
"1001","chicken,pork,frozen vegetables,margarine",4,290,1,"Farida",22,"Cairo","Cash"
"1002","curd,fruit/vegetable juice,specialty chocolate",3,1262,11,"Hanan",22,"Fayoum","Credit"
"1003","sausage,pip fruit,root vegetables,whole milk,rolls/buns,pastry,coffee",7,768,1,"Farida",22,"Cairo","Cash"
"1004","other vegetables,whole milk,frozen meals,pastry,fruit/vegetable juice,long life bakery product,shopping bags",7,2041,1,"Farida",22,"Cairo","Cash"
"1005","UHT-milk,rolls/buns",2,1596,1,"Farida",22,"Cairo","Cash"
"1006","baking powder,coffee,canned beer",3,188,11,"Hanan",22,"Fayoum","Cash"
"1007","long life bakery product",1,2279,11,"Hanan",22,"Fayoum","Cash"
"1008","cookware",1,1658,11,"Hanan",22,"Fayoum","Credit"
"1009","citrus fruit,frozen meals,canned beer,red/blush wine",4,2342,1,"Farida",22,"Cairo","Credit"
"1010","pork,packaged fruit/vegetables,ice cream,oil,detergent",5,1252,11,"Hanan",22,"Fayoum","Cash"
"1011","berries,root vegetables,whole milk,butter,rolls/buns,salty snack",6,2499,11,"Hanan",22,"Fayoum","Cash"
"1012","cooking chocolate",1,588,1,"Farida",22,"Cairo","Cash"
"1013","other vegetables,whole milk,cake bar,detergent",4,1618,1,"Farida",22,"Cairo","Cash"
"1014","frozen potato products,ketchup,chocolate,hygiene articles,shopping bags",5,2371,11,"Hanan",22,"Fayoum","Credit"
"1015","tropical fruit,bottled beer",2,1571,1,"Farida",22,"Cairo","Credit"
"1016","other vegetables,ice cream",2,831,11,"Hanan",22,"Fayoum","Credit"
"1017","other vegetables,whole milk,soda",3,981,1,"Farida",22,"Cairo","Cash"
"1018","yogurt,napkins",2,1081,11,"Hanan",22,"Fayoum","Cash"
"1019","pork,beef,whole milk,frozen vegetables,sugar,canned beer,detergent,skin care,napkins,flower (seeds)",10,288,11,"Hanan",22,"Fayoum","Cash"
"1020","pork,tropical fruit,processed cheese,specialty vegetables,bottled water,soda,bottled beer",7,1612,11,"Hanan",22,"Fayoum","Cash"
"1021","sausage,rolls/buns",2,2127,11,"Hanan",22,"Fayoum","Credit"
"1022","whole milk,ice cream,soda",3,1534,1,"Farida",22,"Cairo","Credit"
"1023","whole milk,curd,yogurt,whipped/sour cream,margarine",5,2399,1,"Farida",22,"Cairo","Cash"
"1024","pip fruit,whole milk,brown bread,fruit/vegetable juice,bottled beer,red/blush wine,shopping bags",7,1675,1,"Farida",22,"Cairo","Cash"
"1025","whole milk,yogurt,cream cheese ,frozen meals,shopping bags",5,474,1,"Farida",22,"Cairo","Credit"
"1026","pork",1,920,1,"Farida",22,"Cairo","Cash"
"1027","rolls/buns",1,965,11,"Hanan",22,"Fayoum","Credit"
"1028","beef,pip fruit,other vegetables,whole milk,frozen vegetables,rolls/buns",6,1878,11,"Hanan",22,"Fayoum","Credit"
"1029","sausage,root vegetables,other vegetables,frozen vegetables,rolls/buns,white bread,baking powder,bottled beer,detergent",9,2386,11,"Hanan",22,"Fayoum","Credit"
"1030","other vegetables,whole milk,rolls/buns,long life bakery product,flower (seeds)",5,117,1,"Farida",22,"Cairo","Credit"
"1031","frankfurter,beef,berries,other vegetables,whole milk",5,1955,11,"Hanan",22,"Fayoum","Cash"
"1032","hamburger meat,packaged fruit/vegetables,whole milk,whipped/sour cream,rolls/buns,bottled water,salty snack,chewing gum",8,1014,11,"Hanan",22,"Fayoum","Cash"
"1033","beef,sugar,canned beer",3,802,11,"Hanan",22,"Fayoum","Cash"
"1034","domestic eggs,rolls/buns,coffee,canned beer,brandy,chocolate,shopping bags",7,164,11,"Hanan",22,"Fayoum","Credit"
"1035","pet care,soda,chocolate,candy",4,996,11,"Hanan",22,"Fayoum","Cash"
"1036","yogurt,frozen vegetables,shopping bags",3,991,11,"Hanan",22,"Fayoum","Cash"
"1037","newspapers",1,593,11,"Hanan",22,"Fayoum","Cash"
"1038","sausage,hamburger meat,root vegetables,whole milk,domestic eggs,white bread,semi-finished bread,honey",8,2308,1,"Farida",22,"Cairo","Credit"
"1039","red/blush wine,sparkling wine",2,1048,1,"Farida",22,"Cairo","Cash"
"1040","other vegetables,whole milk,domestic eggs,margarine,fruit/vegetable juice",5,967,11,"Hanan",22,"Fayoum","Credit"
"1041","beverages",1,1645,11,"Hanan",22,"Fayoum","Credit"
"1042","pastry,soda,specialty bar",3,1133,11,"Hanan",22,"Fayoum","Cash"
"1043","whole milk,cream cheese ,domestic eggs,margarine,canned beer,long life bakery product,shopping bags",7,942,1,"Farida",22,"Cairo","Credit"
"1044","rolls/buns,brown bread",2,1122,11,"Hanan",22,"Fayoum","Cash"
"1045","soda,specialty chocolate",2,345,11,"Hanan",22,"Fayoum","Credit"
"1046","canned beer",1,506,11,"Hanan",22,"Fayoum","Cash"
"1047","tropical fruit,soda",2,1510,11,"Hanan",22,"Fayoum","Cash"
"1048","butter,pastry,long life bakery product,shopping bags",4,186,11,"Hanan",22,"Fayoum","Cash"
"1049","hamburger meat,curd,hard cheese,flour,pasta,margarine,sugar,Instant food products,fruit/vegetable juice,chewing gum,hygiene articles,napkins",12,282,1,"Farida",22,"Cairo","Credit"
"1050","whole milk,cocoa drinks,shopping bags",3,1403,11,"Hanan",22,"Fayoum","Cash"
"1051","other vegetables,whole milk,yogurt,whipped/sour cream,meat spreads,instant coffee,soda",7,1224,11,"Hanan",22,"Fayoum","Cash"
"1052","whole milk",1,621,1,"Farida",22,"Cairo","Credit"
"1053","spread cheese,brown bread,canned beer,red/blush wine",4,1842,11,"Hanan",22,"Fayoum","Credit"
"1054","citrus fruit,pastry",2,148,1,"Farida",22,"Cairo","Cash"
"1055","frankfurter,root vegetables,frozen vegetables,white bread,bathroom cleaner",5,746,11,"Hanan",22,"Fayoum","Cash"
"1056","whole milk,coffee,chocolate,shopping bags",4,1901,1,"Farida",22,"Cairo","Cash"
"1057","citrus fruit,prosecco,specialty bar,shopping bags",4,172,1,"Farida",22,"Cairo","Cash"
"1058","whole milk",1,837,1,"Farida",22,"Cairo","Credit"
"1059","canned beer",1,1136,1,"Farida",22,"Cairo","Cash"
"1060","grapes,rolls/buns,long life bakery product,candy",4,1049,11,"Hanan",22,"Fayoum","Cash"
"1061","beef,citrus fruit,grapes,root vegetables,rolls/buns,dog food,chocolate",7,1231,1,"Farida",22,"Cairo","Cash"
"1062","sparkling wine",1,1357,1,"Farida",22,"Cairo","Cash"
"1063","citrus fruit",1,2478,11,"Hanan",22,"Fayoum","Cash"
"1064","white wine",1,1997,11,"Hanan",22,"Fayoum","Cash"
"1065","rolls/buns,soda",2,1607,1,"Farida",22,"Cairo","Cash"
"1066","whole milk",1,144,11,"Hanan",22,"Fayoum","Cash"
